Truck stop,Latitude,Longitude
Antrim Truck Centre - 580 White Lake Road Arnprior ON K7S,45.419107,-76.3736084
Flying J - 2492 Cedar Creek Road North Dumfries ON N0B 1E0,43.3347947,-80.4328297
825 Hwy 401 Bainsville ON  K0C 1E0,45.180457,-74.401615
Queen Elizabeth Way Beamsville ON L3J,43.1880656,-79.4475388
5902A Wallbridge-Loyalist Rd Belleville ON K8N 5A2,44.162759,-77.383231
Hwy401 Ex 431 (Waverly Rd) 2475 South Service Rd Bowmanville ON L1C 3L1,43.905494,-78.679854
Hwy88 Ex 64b (Hwy400),44.307168,-80.071586
5019 Highway 2 Brantford ON N3T 5M1,43.172479,-80.175739
Flying J Cardlock - 11 Sinclair Boulevard Brantford ON N3S,43.1703986,-80.2159669
2085 Shanly Rd Cardinal ON K0E 1E0,44.809645,-75.402238
K2 Mart - 22216 Bloomfield Road Chatham ON N7M 5J6,42.3479825,-82.1824001
Petro-Canada - 6822 Highway 17 Greater Sudbury ON P0M 1M0,46.4955497,-80.8667072
1901 McConnell Avenue Cornwall ON K6H,45.0458167,-74.7333364
3250 Brookdale Avenue Cornwall ON K6K 1M6,45.054893,-74.7755183
Fifth Wheel - 3305 Dorchester Road Thames Centre ON N0L,42.9554527,-81.0631217
Shell - 806607 Oxford 29 Road Blandford-Blenheim ON N0J,43.2300265,-80.6062474
Esso - 379 Government Street Dryden ON P8N,49.7868297,-92.8326089
1765 Albion Rd Etobicoke ON M9W 5S7,43.7441877,-79.6078332
Flying J - 1637 Pettit Road Fort Erie ON L2A,42.9218236,-78.9674198
398 North Service Road Grimsby ON L3M 4E8,43.2091348,-79.5935211
Esso - 1363 Highway 6 Hamilton ON L8N 2Z7,43.3688325,-79.9957627
1565 ON-11 Hearst ON P0L 1N0,49.6912,-83.685671
Ultramar - 9100 Highway 11 Huntsville ON P1H,45.3001809,-79.2564612
0 ON-17 Ignace ON P0T 1T0,49.427696,-91.682939
"410, 410 Government Road Kapuskasing ON P5N",49.3974819,-82.3694039
2054 Joyceville Rd Joyceville ON K7L 4V3,44.321652,-76.33626
Esso - 1525 Centennial Drive Kingston ON K7L,44.2794655,-76.5676677
Petro-Canada - 1586 Centennial Drive Kingston ON K7P,44.280448,-76.5704018
6350 Egremont Dr Komoka ON N0L 1R0,43.000497,-81.422616
6115 4th Line Rd Bainsville ON K0C 1E0,45.1944849,-74.3830994
21856 Old Hwy 2 South Glengarry ON K0C 1E0,45.1916822,-74.375139
20382 Old Highway 2 South Glengarry ON K0C,45.1386278,-74.4961445
Johnny's Gas - 448 Talbot Street West Leamington ON N8H,42.0478078,-82.6378787
Flying M Truck Stop - 7340 Colonel Talbot Road London ON N6L,42.8336576,-81.2661402
Flying J - 3700 Highbury Avenue South London ON N6N,42.9336155,-81.174969
3391 Westchester Bourne London ON N6M 1H6,42.943977,-81.109371
40 Chisholm Drive Milton ON L5T 3H5,43.5254205,-79.902152
10862 Steeles Ave E Milton ON L9T 6R1,43.54366,-79.863025
1400 Britannia Rd E Mississauga ON L4W 1C7,43.6536008,-79.6490919
5979 Shawson Dr Mississauga ON L4W 3Y2,43.648172,-79.65385
6625 Kennedy Rd Mississauga ON L5T 2W4,43.6468278,-79.6819903
1553 Shawson Dr Mississauga ON L4W 1T7,43.65387,-79.642633
292 Brock Road South Puslinch ON N1H 6H9,43.456962,-80.129749
220 Highway 17 Nairn and Hyman Township ON P0M 2L0,46.3275462,-81.5940175
Flying J - 628 County Road 41 Greater Napanee ON K7R,44.2667671,-76.9687121
Esso - 997491 Highway 11 Temiskaming Shores ON P0J,47.5362311,-79.6735912
Esso - 260 Pinewood Park Drive North Bay ON P1B 8Z4,46.2573267,-79.3855142
2284 Wyecroft Road Oakville ON L6L 6L4,43.4144318,-79.7294052
5300 Walker Road Tecumseh ON N0R,42.2319739,-82.9637732
8262 ON-115 Orono ON L0B 1M0,44.0364722,-78.6150433
Hwy23 & Hwy9 R.R.1 Palmerston ON,43.845639,-80.759899
Pass Lake Restaurant - 3200 Highway 11/17 Shuniah ON P0T 2M0,48.6034603,-88.78247
2000 Clements Rd Pickering ON L1W 4A1,43.829025,-79.04912
2211 County Road 28 Port Hope ON L1A,43.9724689,-78.2872755
491 York Road Niagara-on-the-Lake ON L2M 7P3,43.16073,-79.1657
1741 London Line Sarnia ON N7T,42.9827542,-82.3263341
On the Run - 1670 London Line Sarnia ON N7W,42.9844571,-82.3311889
Flying J - 996 Great Northern Road Sault Ste. Marie ON P6A 5K7,46.5569703,-84.3185452
Esso - 770 Highway 17 Sault Ste. Marie ON P6A,46.6425705,-84.3065782
458 Great Northern Road Sault Ste. Marie ON P6B,46.5405097,-84.3187976
Husky - 1275 Trunk Road Sault Ste. Marie ON P6A,46.5312258,-84.2511247
987 Great Northern Rd Sault Ste. Marie ON P6B 0B9,46.554062,-84.320716
2025 County Road 44 Edwardsburgh/Cardinal ON K0E 1X0,44.7599752,-75.4832099
Ultramar - 17 Duhamel Road Greater Sudbury ON P3Y,46.4365291,-81.109278
Esso - 1120 Alloy Drive Thunder Bay ON P7B,48.4091105,-89.2571329
19325 Essex County Road 42 Tilbury ON N0P 2L0,42.263301,-82.461066
3613 Queen's Line Tilbury ON N0P 2L0,42.266277,-82.417621
433 Trans - Canada Hwy Upsala ON P0T 0C4,49.043874,-90.46894
Esso - 217 Highway 17 White River Township ON P0M 3G0,48.5938443,-85.2779475
4040 Essex County Rd 46 Windsor ON N0R 1L0,42.244499,-82.950493
9400 Hwy 27 Kleinburg ON L4L 1A7,43.814954,-79.630228
535 Mill Street N4S 7V6 Woodstock ON N4S 0A9,43.102927,-80.755549
Rr 5 Stn Main St Woodstock ON N4S 7V9,43.142317,-80.672504
Esso - 5906 Oil Heritage Road Wyoming ON N0N,42.9876338,-82.1168522
